s0,s1,s2,s3,s4,s5,s6,s7,s8,s9
1.864740647474907309e-01,1.831916031837451109e-01,2.153908989429459964e-01,3.452783868312825910e-01,-1.239316811799991758e+00,2.412278176943448427e-01,1.772433405717190325e-01,2.244240134557082822e-01,1.784073048432686659e-01,-5.096423695882195126e-01
-6.536870166063317722e-01,1.400280048052444937e-01,-7.015657365719387695e-01,2.675361620982499300e-01,1.519661956628162724e-01,1.124512981971086262e-01,1.859791117509208558e-01,1.509022340774513193e-01,1.453912192185685681e-01,1.106472771962493384e-01
1.065790686607345356e-01,1.551007188955914606e-01,-9.221678879260954975e-01,2.960148332118983650e-01,1.650029064814250157e-01,1.797871023019148029e-01,1.991857232252733090e-01,-5.437954006989770273e-01,1.539776863257079076e-01,6.866490419705734150e-02
1.496899979909240841e-01,-9.132272184292425932e-01,1.945942723353675796e-01,2.302557666699049377e-01,1.396172252893422006e-01,1.992471436262107376e-01,-6.077728232145184206e-01,2.279054291645657149e-01,1.004810569286359312e-01,1.131280525128027792e-01
1.496899979909240841e-01,-9.132272184292425932e-01,1.945942723353675796e-01,2.302557666699049377e-01,1.396172252893422006e-01,1.992471436262107376e-01,-6.077728232145184206e-01,2.279054291645657149e-01,1.004810569286359312e-01,1.131280525128027792e-01
-7.730086839596400639e-01,1.462098604043319261e-01,1.429944475094443446e-01,2.189020901521037121e-01,1.755209550857522449e-01,-6.404974504709164407e-01,1.905790716012288888e-01,1.970069821278251920e-01,1.472131472428640786e-01,1.123095641136163392e-01
1.864740647474907309e-01,1.831916031837451109e-01,2.153908989429459964e-01,3.452783868312825910e-01,-1.239316811799991758e+00,2.412278176943448427e-01,1.772433405717190325e-01,2.244240134557082822e-01,1.784073048432686659e-01,-5.096423695882195126e-01
1.065790686607345356e-01,1.551007188955914606e-01,-9.221678879260954975e-01,2.960148332118983650e-01,1.650029064814250157e-01,1.797871023019148029e-01,1.991857232252733090e-01,-5.437954006989770273e-01,1.539776863257079076e-01,6.866490419705734150e-02
1.401855069001497478e-01,-7.020826542774749601e-01,1.838920368353509360e-01,-6.253438489039677695e-01,1.708762476444218581e-01,1.306669892470019023e-01,1.309949363867407290e-01,2.200795320272420363e-01,7.068650221824593349e-02,1.106582196156186138e-01
2.207468475500758975e-01,2.129423166910819343e-01,1.986485160986568022e-01,3.983116248846052532e-01,2.128926568826050580e-01,2.427291571696606476e-01,2.592856237888311877e-01,-9.224825243552499110e-01,1.988984010219582155e-01,-5.406004087527631619e-01
9.747658467292834306e-02,1.441318573156989413e-01,-7.347820955912295338e-01,2.757598119576786799e-01,-6.382250573635096513e-01,1.928925154209121529e-01,1.467362941900892670e-01,1.518580811818450726e-01,1.464018215338377671e-01,7.443234181404276284e-02
1.065790686607345356e-01,1.551007188955914606e-01,-9.221678879260954975e-01,2.960148332118983650e-01,1.650029064814250157e-01,1.797871023019148029e-01,1.991857232252733090e-01,-5.437954006989770273e-01,1.539776863257079076e-01,6.866490419705734150e-02
-7.730086839596400639e-01,1.462098604043319261e-01,1.429944475094443446e-01,2.189020901521037121e-01,1.755209550857522449e-01,-6.404974504709164407e-01,1.905790716012288888e-01,1.970069821278251920e-01,1.472131472428640786e-01,1.123095641136163392e-01
1.596484169960017685e-01,1.064511074225085036e-01,1.872373310327515028e-01,3.010361218055066512e-01,-7.762906345128997021e-01,2.069510066111864000e-01,-5.958235121170645243e-01,2.314804233709969739e-01,1.032699582576789149e-01,7.779153541723869691e-02
-7.730086839596400639e-01,1.462098604043319261e-01,1.429944475094443446e-01,2.189020901521037121e-01,1.755209550857522449e-01,-6.404974504709164407e-01,1.905790716012288888e-01,1.970069821278251920e-01,1.472131472428640786e-01,1.123095641136163392e-01
7.394791340828008042e-02,9.739928380648114892e-02,1.957695283095033933e-01,-6.601570312579475575e-01,1.789720473289483915e-01,-5.462672313451757411e-01,1.917901600996636535e-01,1.982047024965290227e-01,7.284588789940089903e-02,1.132350837787004516e-01
2.207468475500758975e-01,2.129423166910819343e-01,1.986485160986568022e-01,3.983116248846052532e-01,2.128926568826050580e-01,2.427291571696606476e-01,2.592856237888311877e-01,-9.224825243552499110e-01,1.988984010219582155e-01,-5.406004087527631619e-01
7.394791340828008042e-02,9.739928380648114892e-02,1.957695283095033933e-01,-6.601570312579475575e-01,1.789720473289483915e-01,-5.462672313451757411e-01,1.917901600996636535e-01,1.982047024965290227e-01,7.284588789940089903e-02,1.132350837787004516e-01
1.653674409389498390e-01,1.063190187613154147e-01,2.134583641688026223e-01,-9.154831686019895276e-01,1.938104968865693167e-01,1.469935661156969720e-01,1.613731572628050170e-01,2.417411146163921942e-01,-5.192925773461658512e-01,1.224614423116072714e-01
1.596484169960017685e-01,1.064511074225085036e-01,1.872373310327515028e-01,3.010361218055066512e-01,-7.762906345128997021e-01,2.069510066111864000e-01,-5.958235121170645243e-01,2.314804233709969739e-01,1.032699582576789149e-01,7.779153541723869691e-02
1.065790686607345356e-01,1.551007188955914606e-01,-9.221678879260954975e-01,2.960148332118983650e-01,1.650029064814250157e-01,1.797871023019148029e-01,1.991857232252733090e-01,-5.437954006989770273e-01,1.539776863257079076e-01,6.866490419705734150e-02
7.394791340828008042e-02,9.739928380648114892e-02,1.957695283095033933e-01,-6.601570312579475575e-01,1.789720473289483915e-01,-5.462672313451757411e-01,1.917901600996636535e-01,1.982047024965290227e-01,7.284588789940089903e-02,1.132350837787004516e-01
-6.536870166063317722e-01,1.400280048052444937e-01,-7.015657365719387695e-01,2.675361620982499300e-01,1.519661956628162724e-01,1.124512981971086262e-01,1.859791117509208558e-01,1.509022340774513193e-01,1.453912192185685681e-01,1.106472771962493384e-01
1.496899979909240841e-01,-9.132272184292425932e-01,1.945942723353675796e-01,2.302557666699049377e-01,1.396172252893422006e-01,1.992471436262107376e-01,-6.077728232145184206e-01,2.279054291645657149e-01,1.004810569286359312e-01,1.131280525128027792e-01
-6.536870166063317722e-01,1.400280048052444937e-01,-7.015657365719387695e-01,2.675361620982499300e-01,1.519661956628162724e-01,1.124512981971086262e-01,1.859791117509208558e-01,1.509022340774513193e-01,1.453912192185685681e-01,1.106472771962493384e-01
9.394635415077227936e-02,1.712429850896179939e-01,1.573853279749532486e-01,2.594379442532859237e-01,1.992123128573092261e-01,-6.959348827997813292e-01,2.116200158596036052e-01,-4.966554894447310908e-01,1.585672503312416382e-01,7.260246332486608445e-02
1.401855069001497478e-01,-7.020826542774749601e-01,1.838920368353509360e-01,-6.253438489039677695e-01,1.708762476444218581e-01,1.306669892470019023e-01,1.309949363867407290e-01,2.200795320272420363e-01,7.068650221824593349e-02,1.106582196156186138e-01
-6.536870166063317722e-01,1.400280048052444937e-01,-7.015657365719387695e-01,2.675361620982499300e-01,1.519661956628162724e-01,1.124512981971086262e-01,1.859791117509208558e-01,1.509022340774513193e-01,1.453912192185685681e-01,1.106472771962493384e-01
2.207468475500758975e-01,2.129423166910819343e-01,1.986485160986568022e-01,3.983116248846052532e-01,2.128926568826050580e-01,2.427291571696606476e-01,2.592856237888311877e-01,-9.224825243552499110e-01,1.988984010219582155e-01,-5.406004087527631619e-01
1.918215955893192437e-01,1.312925030390408865e-01,2.423465754191080346e-01,2.846152547597907145e-01,1.717597347100572325e-01,2.398730015357331824e-01,-7.834332462549165044e-01,2.623299290339129453e-01,-5.691335805654552660e-01,1.285030056635551032e-01
9.394635415077227936e-02,1.712429850896179939e-01,1.573853279749532486e-01,2.594379442532859237e-01,1.992123128573092261e-01,-6.959348827997813292e-01,2.116200158596036052e-01,-4.966554894447310908e-01,1.585672503312416382e-01,7.260246332486608445e-02
-7.730086839596400639e-01,1.462098604043319261e-01,1.429944475094443446e-01,2.189020901521037121e-01,1.755209550857522449e-01,-6.404974504709164407e-01,1.905790716012288888e-01,1.970069821278251920e-01,1.472131472428640786e-01,1.123095641136163392e-01
1.596484169960017685e-01,1.064511074225085036e-01,1.872373310327515028e-01,3.010361218055066512e-01,-7.762906345128997021e-01,2.069510066111864000e-01,-5.958235121170645243e-01,2.314804233709969739e-01,1.032699582576789149e-01,7.779153541723869691e-02
9.394635415077227936e-02,1.712429850896179939e-01,1.573853279749532486e-01,2.594379442532859237e-01,1.992123128573092261e-01,-6.959348827997813292e-01,2.116200158596036052e-01,-4.966554894447310908e-01,1.585672503312416382e-01,7.260246332486608445e-02
7.394791340828008042e-02,9.739928380648114892e-02,1.957695283095033933e-01,-6.601570312579475575e-01,1.789720473289483915e-01,-5.462672313451757411e-01,1.917901600996636535e-01,1.982047024965290227e-01,7.284588789940089903e-02,1.132350837787004516e-01
1.653674409389498390e-01,1.063190187613154147e-01,2.134583641688026223e-01,-9.154831686019895276e-01,1.938104968865693167e-01,1.469935661156969720e-01,1.613731572628050170e-01,2.417411146163921942e-01,-5.192925773461658512e-01,1.224614423116072714e-01
1.864740647474907309e-01,1.831916031837451109e-01,2.153908989429459964e-01,3.452783868312825910e-01,-1.239316811799991758e+00,2.412278176943448427e-01,1.772433405717190325e-01,2.244240134557082822e-01,1.784073048432686659e-01,-5.096423695882195126e-01
2.207468475500758975e-01,2.129423166910819343e-01,1.986485160986568022e-01,3.983116248846052532e-01,2.128926568826050580e-01,2.427291571696606476e-01,2.592856237888311877e-01,-9.224825243552499110e-01,1.988984010219582155e-01,-5.406004087527631619e-01
1.065790686607345356e-01,1.551007188955914606e-01,-9.221678879260954975e-01,2.960148332118983650e-01,1.650029064814250157e-01,1.797871023019148029e-01,1.991857232252733090e-01,-5.437954006989770273e-01,1.539776863257079076e-01,6.866490419705734150e-02
1.496899979909240841e-01,-9.132272184292425932e-01,1.945942723353675796e-01,2.302557666699049377e-01,1.396172252893422006e-01,1.992471436262107376e-01,-6.077728232145184206e-01,2.279054291645657149e-01,1.004810569286359312e-01,1.131280525128027792e-01
9.394635415077227936e-02,1.712429850896179939e-01,1.573853279749532486e-01,2.594379442532859237e-01,1.992123128573092261e-01,-6.959348827997813292e-01,2.116200158596036052e-01,-4.966554894447310908e-01,1.585672503312416382e-01,7.260246332486608445e-02
1.864740647474907309e-01,1.831916031837451109e-01,2.153908989429459964e-01,3.452783868312825910e-01,-1.239316811799991758e+00,2.412278176943448427e-01,1.772433405717190325e-01,2.244240134557082822e-01,1.784073048432686659e-01,-5.096423695882195126e-01
1.496899979909240841e-01,-9.132272184292425932e-01,1.945942723353675796e-01,2.302557666699049377e-01,1.396172252893422006e-01,1.992471436262107376e-01,-6.077728232145184206e-01,2.279054291645657149e-01,1.004810569286359312e-01,1.131280525128027792e-01
1.653674409389498390e-01,1.063190187613154147e-01,2.134583641688026223e-01,-9.154831686019895276e-01,1.938104968865693167e-01,1.469935661156969720e-01,1.613731572628050170e-01,2.417411146163921942e-01,-5.192925773461658512e-01,1.224614423116072714e-01
1.401855069001497478e-01,-7.020826542774749601e-01,1.838920368353509360e-01,-6.253438489039677695e-01,1.708762476444218581e-01,1.306669892470019023e-01,1.309949363867407290e-01,2.200795320272420363e-01,7.068650221824593349e-02,1.106582196156186138e-01
7.394791340828008042e-02,9.739928380648114892e-02,1.957695283095033933e-01,-6.601570312579475575e-01,1.789720473289483915e-01,-5.462672313451757411e-01,1.917901600996636535e-01,1.982047024965290227e-01,7.284588789940089903e-02,1.132350837787004516e-01
-7.730086839596400639e-01,1.462098604043319261e-01,1.429944475094443446e-01,2.189020901521037121e-01,1.755209550857522449e-01,-6.404974504709164407e-01,1.905790716012288888e-01,1.970069821278251920e-01,1.472131472428640786e-01,1.123095641136163392e-01
1.918215955893192437e-01,1.312925030390408865e-01,2.423465754191080346e-01,2.846152547597907145e-01,1.717597347100572325e-01,2.398730015357331824e-01,-7.834332462549165044e-01,2.623299290339129453e-01,-5.691335805654552660e-01,1.285030056635551032e-01
1.065790686607345356e-01,1.551007188955914606e-01,-9.221678879260954975e-01,2.960148332118983650e-01,1.650029064814250157e-01,1.797871023019148029e-01,1.991857232252733090e-01,-5.437954006989770273e-01,1.539776863257079076e-01,6.866490419705734150e-02
1.653674409389498390e-01,1.063190187613154147e-01,2.134583641688026223e-01,-9.154831686019895276e-01,1.938104968865693167e-01,1.469935661156969720e-01,1.613731572628050170e-01,2.417411146163921942e-01,-5.192925773461658512e-01,1.224614423116072714e-01
1.918215955893192437e-01,1.312925030390408865e-01,2.423465754191080346e-01,2.846152547597907145e-01,1.717597347100572325e-01,2.398730015357331824e-01,-7.834332462549165044e-01,2.623299290339129453e-01,-5.691335805654552660e-01,1.285030056635551032e-01
1.596484169960017685e-01,1.064511074225085036e-01,1.872373310327515028e-01,3.010361218055066512e-01,-7.762906345128997021e-01,2.069510066111864000e-01,-5.958235121170645243e-01,2.314804233709969739e-01,1.032699582576789149e-01,7.779153541723869691e-02
1.918215955893192437e-01,1.312925030390408865e-01,2.423465754191080346e-01,2.846152547597907145e-01,1.717597347100572325e-01,2.398730015357331824e-01,-7.834332462549165044e-01,2.623299290339129453e-01,-5.691335805654552660e-01,1.285030056635551032e-01
1.653674409389498390e-01,1.063190187613154147e-01,2.134583641688026223e-01,-9.154831686019895276e-01,1.938104968865693167e-01,1.469935661156969720e-01,1.613731572628050170e-01,2.417411146163921942e-01,-5.192925773461658512e-01,1.224614423116072714e-01
1.864740647474907309e-01,1.831916031837451109e-01,2.153908989429459964e-01,3.452783868312825910e-01,-1.239316811799991758e+00,2.412278176943448427e-01,1.772433405717190325e-01,2.244240134557082822e-01,1.784073048432686659e-01,-5.096423695882195126e-01
1.401855069001497478e-01,-7.020826542774749601e-01,1.838920368353509360e-01,-6.253438489039677695e-01,1.708762476444218581e-01,1.306669892470019023e-01,1.309949363867407290e-01,2.200795320272420363e-01,7.068650221824593349e-02,1.106582196156186138e-01
1.496899979909240841e-01,-9.132272184292425932e-01,1.945942723353675796e-01,2.302557666699049377e-01,1.396172252893422006e-01,1.992471436262107376e-01,-6.077728232145184206e-01,2.279054291645657149e-01,1.004810569286359312e-01,1.131280525128027792e-01
1.065790686607345356e-01,1.551007188955914606e-01,-9.221678879260954975e-01,2.960148332118983650e-01,1.650029064814250157e-01,1.797871023019148029e-01,1.991857232252733090e-01,-5.437954006989770273e-01,1.539776863257079076e-01,6.866490419705734150e-02
2.207468475500758975e-01,2.129423166910819343e-01,1.986485160986568022e-01,3.983116248846052532e-01,2.128926568826050580e-01,2.427291571696606476e-01,2.592856237888311877e-01,-9.224825243552499110e-01,1.988984010219582155e-01,-5.406004087527631619e-01
1.918215955893192437e-01,1.312925030390408865e-01,2.423465754191080346e-01,2.846152547597907145e-01,1.717597347100572325e-01,2.398730015357331824e-01,-7.834332462549165044e-01,2.623299290339129453e-01,-5.691335805654552660e-01,1.285030056635551032e-01
1.653674409389498390e-01,1.063190187613154147e-01,2.134583641688026223e-01,-9.154831686019895276e-01,1.938104968865693167e-01,1.469935661156969720e-01,1.613731572628050170e-01,2.417411146163921942e-01,-5.192925773461658512e-01,1.224614423116072714e-01
-6.536870166063317722e-01,1.400280048052444937e-01,-7.015657365719387695e-01,2.675361620982499300e-01,1.519661956628162724e-01,1.124512981971086262e-01,1.859791117509208558e-01,1.509022340774513193e-01,1.453912192185685681e-01,1.106472771962493384e-01
-7.730086839596400639e-01,1.462098604043319261e-01,1.429944475094443446e-01,2.189020901521037121e-01,1.755209550857522449e-01,-6.404974504709164407e-01,1.905790716012288888e-01,1.970069821278251920e-01,1.472131472428640786e-01,1.123095641136163392e-01
1.653674409389498390e-01,1.063190187613154147e-01,2.134583641688026223e-01,-9.154831686019895276e-01,1.938104968865693167e-01,1.469935661156969720e-01,1.613731572628050170e-01,2.417411146163921942e-01,-5.192925773461658512e-01,1.224614423116072714e-01
1.918215955893192437e-01,1.312925030390408865e-01,2.423465754191080346e-01,2.846152547597907145e-01,1.717597347100572325e-01,2.398730015357331824e-01,-7.834332462549165044e-01,2.623299290339129453e-01,-5.691335805654552660e-01,1.285030056635551032e-01
-7.730086839596400639e-01,1.462098604043319261e-01,1.429944475094443446e-01,2.189020901521037121e-01,1.755209550857522449e-01,-6.404974504709164407e-01,1.905790716012288888e-01,1.970069821278251920e-01,1.472131472428640786e-01,1.123095641136163392e-01
1.401855069001497478e-01,-7.020826542774749601e-01,1.838920368353509360e-01,-6.253438489039677695e-01,1.708762476444218581e-01,1.306669892470019023e-01,1.309949363867407290e-01,2.200795320272420363e-01,7.068650221824593349e-02,1.106582196156186138e-01
9.747658467292834306e-02,1.441318573156989413e-01,-7.347820955912295338e-01,2.757598119576786799e-01,-6.382250573635096513e-01,1.928925154209121529e-01,1.467362941900892670e-01,1.518580811818450726e-01,1.464018215338377671e-01,7.443234181404276284e-02
1.653674409389498390e-01,1.063190187613154147e-01,2.134583641688026223e-01,-9.154831686019895276e-01,1.938104968865693167e-01,1.469935661156969720e-01,1.613731572628050170e-01,2.417411146163921942e-01,-5.192925773461658512e-01,1.224614423116072714e-01
1.653674409389498390e-01,1.063190187613154147e-01,2.134583641688026223e-01,-9.154831686019895276e-01,1.938104968865693167e-01,1.469935661156969720e-01,1.613731572628050170e-01,2.417411146163921942e-01,-5.192925773461658512e-01,1.224614423116072714e-01
1.596484169960017685e-01,1.064511074225085036e-01,1.872373310327515028e-01,3.010361218055066512e-01,-7.762906345128997021e-01,2.069510066111864000e-01,-5.958235121170645243e-01,2.314804233709969739e-01,1.032699582576789149e-01,7.779153541723869691e-02
1.065790686607345356e-01,1.551007188955914606e-01,-9.221678879260954975e-01,2.960148332118983650e-01,1.650029064814250157e-01,1.797871023019148029e-01,1.991857232252733090e-01,-5.437954006989770273e-01,1.539776863257079076e-01,6.866490419705734150e-02
7.394791340828008042e-02,9.739928380648114892e-02,1.957695283095033933e-01,-6.601570312579475575e-01,1.789720473289483915e-01,-5.462672313451757411e-01,1.917901600996636535e-01,1.982047024965290227e-01,7.284588789940089903e-02,1.132350837787004516e-01
2.207468475500758975e-01,2.129423166910819343e-01,1.986485160986568022e-01,3.983116248846052532e-01,2.128926568826050580e-01,2.427291571696606476e-01,2.592856237888311877e-01,-9.224825243552499110e-01,1.988984010219582155e-01,-5.406004087527631619e-01
1.401855069001497478e-01,-7.020826542774749601e-01,1.838920368353509360e-01,-6.253438489039677695e-01,1.708762476444218581e-01,1.306669892470019023e-01,1.309949363867407290e-01,2.200795320272420363e-01,7.068650221824593349e-02,1.106582196156186138e-01
-6.536870166063317722e-01,1.400280048052444937e-01,-7.015657365719387695e-01,2.675361620982499300e-01,1.519661956628162724e-01,1.124512981971086262e-01,1.859791117509208558e-01,1.509022340774513193e-01,1.453912192185685681e-01,1.106472771962493384e-01
9.747658467292834306e-02,1.441318573156989413e-01,-7.347820955912295338e-01,2.757598119576786799e-01,-6.382250573635096513e-01,1.928925154209121529e-01,1.467362941900892670e-01,1.518580811818450726e-01,1.464018215338377671e-01,7.443234181404276284e-02
1.918215955893192437e-01,1.312925030390408865e-01,2.423465754191080346e-01,2.846152547597907145e-01,1.717597347100572325e-01,2.398730015357331824e-01,-7.834332462549165044e-01,2.623299290339129453e-01,-5.691335805654552660e-01,1.285030056635551032e-01
1.065790686607345356e-01,1.551007188955914606e-01,-9.221678879260954975e-01,2.960148332118983650e-01,1.650029064814250157e-01,1.797871023019148029e-01,1.991857232252733090e-01,-5.437954006989770273e-01,1.539776863257079076e-01,6.866490419705734150e-02
1.918215955893192437e-01,1.312925030390408865e-01,2.423465754191080346e-01,2.846152547597907145e-01,1.717597347100572325e-01,2.398730015357331824e-01,-7.834332462549165044e-01,2.623299290339129453e-01,-5.691335805654552660e-01,1.285030056635551032e-01
7.394791340828008042e-02,9.739928380648114892e-02,1.957695283095033933e-01,-6.601570312579475575e-01,1.789720473289483915e-01,-5.462672313451757411e-01,1.917901600996636535e-01,1.982047024965290227e-01,7.284588789940089903e-02,1.132350837787004516e-01
1.596484169960017685e-01,1.064511074225085036e-01,1.872373310327515028e-01,3.010361218055066512e-01,-7.762906345128997021e-01,2.069510066111864000e-01,-5.958235121170645243e-01,2.314804233709969739e-01,1.032699582576789149e-01,7.779153541723869691e-02
2.207468475500758975e-01,2.129423166910819343e-01,1.986485160986568022e-01,3.983116248846052532e-01,2.128926568826050580e-01,2.427291571696606476e-01,2.592856237888311877e-01,-9.224825243552499110e-01,1.988984010219582155e-01,-5.406004087527631619e-01
1.918215955893192437e-01,1.312925030390408865e-01,2.423465754191080346e-01,2.846152547597907145e-01,1.717597347100572325e-01,2.398730015357331824e-01,-7.834332462549165044e-01,2.623299290339129453e-01,-5.691335805654552660e-01,1.285030056635551032e-01
-6.536870166063317722e-01,1.400280048052444937e-01,-7.015657365719387695e-01,2.675361620982499300e-01,1.519661956628162724e-01,1.124512981971086262e-01,1.859791117509208558e-01,1.509022340774513193e-01,1.453912192185685681e-01,1.106472771962493384e-01
7.394791340828008042e-02,9.739928380648114892e-02,1.957695283095033933e-01,-6.601570312579475575e-01,1.789720473289483915e-01,-5.462672313451757411e-01,1.917901600996636535e-01,1.982047024965290227e-01,7.284588789940089903e-02,1.132350837787004516e-01
2.207468475500758975e-01,2.129423166910819343e-01,1.986485160986568022e-01,3.983116248846052532e-01,2.128926568826050580e-01,2.427291571696606476e-01,2.592856237888311877e-01,-9.224825243552499110e-01,1.988984010219582155e-01,-5.406004087527631619e-01
